"CODUSU","NRO_HOGAR","COMPONENTE","ANO4","TRIMESTRE","CH04","CH06","NIVEL_ED","PP07H","ESTADO","AGLOMERADO","sexo","informal","edad","educ_grupo"
"TQRMNOSVTHMNLQCDEHJGH00810912",1,1,2024,3,1,29,2,0,1,23,"Varón",NA,29,"Baja"
"TQRMNOPTVHKONPCDEIJAH00868507",1,3,2024,3,1,30,4,1,1,33,"Varón",0,30,"Media"
"TQRMNORTPHMMMLCDEFIAH00808606",1,1,2024,3,1,45,3,1,1,2,"Varón",0,45,"Baja"
"TQRMNOQURHMMLPCDEIGED00811740",1,3,2024,3,1,24,4,1,1,30,"Varón",0,24,"Media"
"TQRMNOTSUHMOQOCDEIJAH00869885",1,4,2024,3,1,28,3,2,1,33,"Varón",1,28,"Baja"
"TQRMNORTVHLLKSCDEGNFJ00805261",1,2,2024,3,2,24,5,2,1,17,"Mujer",1,24,"Media"
"TQRMNOPTXHLNKMCDEHNHB00806311",1,1,2024,3,1,40,5,1,1,27,"Varón",0,40,"Media"
"TQRMNORQYHLNMLCDEIKAH00812868",1,3,2024,3,2,28,4,1,1,34,"Mujer",0,28,"Media"
"TQRMNORWPHJKKPCDEIOAH00864683",1,1,2024,3,1,42,5,1,1,38,"Varón",0,42,"Media"
"TQRMNOQRUHKOKTCDEFMDB00868413",1,1,2024,3,2,48,4,2,1,6,"Mujer",1,48,"Media"
"TQRMNOPWRHMLLTCDEHNHB00811361",1,1,2024,3,1,42,4,0,1,27,"Varón",NA,42,"Media"
"TQRMNOTXSHMOLSCDEHPJB00811550",1,3,2024,3,2,29,3,0,1,29,"Mujer",NA,29,"Baja"
"TQRMNOWXYHKOLQCDEGIBJ00867371",1,2,2024,3,2,32,4,0,1,12,"Mujer",NA,32,"Media"
"TQRMNORYQHJOKRCDEGNFJ00862613",1,1,2024,3,2,54,4,2,1,17,"Mujer",1,54,"Media"
"TQRMNOPPTHMOKRCDEGJBF00810089",1,3,2024,3,2,25,5,0,1,13,"Mujer",NA,25,"Media"
"TQRMNOTPYHJMMPCDEIJAH00861822",1,2,2024,3,1,24,4,2,1,33,"Varón",1,24,"Media"
"TQRMNOPTTHMKKSCDEGOIH00810549",1,2,2024,3,1,50,6,0,1,18,"Varón",NA,50,"Alta"
"TQRMNOQSYHKMLOCDEGKDB00870363",1,5,2024,3,1,32,3,1,1,14,"Varón",0,32,"Baja"
"TQRMNORUSHLOLTCDEFKID00803678",1,4,2024,3,1,19,2,2,1,4,"Varón",1,19,"Baja"
"TQRMNORRVHJLKOCDEGGFB00871832",1,1,2024,3,1,53,6,1,1,10,"Varón",0,53,"Alta"
"TQRMNOPSSHMOLLCDEGIBJ00852806",1,3,2024,3,1,41,3,2,1,12,"Varón",1,41,"Baja"
"TQRMNOPTXHKMLPCDEGKDB00868190",1,1,2024,3,1,52,4,1,1,14,"Varón",0,52,"Media"
"TQRMNOPTXHKNOOCDEIIAD00866903",1,1,2024,3,2,50,6,1,1,32,"Mujer",0,50,"Alta"
"TQRMNOTVXHKOKOCDEOHCH00869346",1,1,2024,3,1,29,3,0,1,91,"Varón",NA,29,"Baja"
"TQRMNOQUPHKMLOCDEHPJB00870319",1,2,2024,3,1,31,3,2,1,29,"Varón",1,31,"Baja"
"TQRMNOPRPHLOLQCDEHNHB00806396",1,1,2024,3,1,30,6,2,1,27,"Varón",1,30,"Alta"
"TQRMNOPSTHKOLOCDEFIAH00871312",1,2,2024,3,1,27,4,2,1,2,"Varón",1,27,"Media"
"TQRMNOPTPHMOKMCDEOJAH00813431",1,1,2024,3,2,48,2,2,1,93,"Mujer",1,48,"Baja"
"TQRMNORRQHMKKQCDEFIAH00867394",1,2,2024,3,1,28,4,2,1,2,"Varón",1,28,"Media"
"TQRMNORYWHLOQRCDEIJAH00807223",1,1,2024,3,2,51,3,1,1,33,"Mujer",0,51,"Baja"
"TQRMNOQXPHJMLSCDEFLID00865981",1,3,2024,3,1,33,4,2,1,5,"Varón",1,33,"Media"
"TQRMNOPUPHJMMPCDEGJBF00862525",1,1,2024,3,1,32,6,2,1,13,"Varón",1,32,"Alta"
"TQRMNOPVQHLMMMCDEFKID00808984",1,4,2024,3,1,22,5,0,1,4,"Varón",NA,22,"Media"
"TQRMNOSRPHMMLOCDEFJAH00808735",1,2,2024,3,2,30,6,2,1,3,"Mujer",1,30,"Alta"
"TQRMNOTRRHLOQUCDEIJAH00807475",1,3,2024,3,1,23,5,1,1,33,"Varón",0,23,"Media"
"TQRMNORVVHJLLRCDEIJAH00866190",1,2,2024,3,2,51,6,1,1,33,"Mujer",0,51,"Alta"
"TQRMNOPPWHJLPLCDEIJAH00867264",1,2,2024,3,1,43,4,2,1,33,"Varón",1,43,"Media"
"TQRMNOSVWHKMKOCDEHJGH00867329",1,1,2024,3,1,56,2,2,1,23,"Varón",1,56,"Baja"
"TQRMNOQTUHLMMPCDEFKID00803770",1,2,2024,3,2,40,6,1,1,4,"Mujer",0,40,"Alta"
"TQRMNOPQYHLOLMCDEFNFF00804205",1,1,2024,3,2,60,5,1,1,7,"Mujer",0,60,"Media"
"TQRMNOQTYHJOLSCDEHJGH00863284",1,1,2024,3,1,33,4,0,1,23,"Varón",NA,33,"Media"
"TQRMNOTUPHMMLNCDEFPCH00809531",1,1,2024,3,1,52,4,1,1,9,"Varón",0,52,"Media"
"TQRMNOVVWHKMMLCDEGGFB00869462",1,1,2024,3,1,31,5,2,1,10,"Varón",1,31,"Media"
"TQRMNOVSPHLMLPCDEOHCH00808343",1,2,2024,3,2,46,3,1,1,91,"Mujer",0,46,"Baja"
"TQRMNOQSXHMLMMCDEHPJB00854433",1,1,2024,3,2,44,5,0,1,29,"Mujer",NA,44,"Media"
"TQRMNOQRTHJNKQCDEIGED00861857",1,2,2024,3,1,48,2,0,1,30,"Varón",NA,48,"Baja"
"TQRMNORWRHMLKNCDEFNFF00809304",1,2,2024,3,1,36,6,1,1,7,"Varón",0,36,"Alta"
"TQRMNOTQUHMLKQCDEGOIH00810538",1,3,2024,3,1,51,6,1,1,18,"Varón",0,51,"Alta"
"TQRMNORRUHMMKUCDEHLEH00811148",1,5,2024,3,1,48,2,1,1,25,"Varón",0,48,"Baja"
"TQRMNOQWVHKMKOCDEFLID00868770",1,1,2024,3,1,49,3,1,1,5,"Varón",0,49,"Baja"
"TQRMNORTRHJOLOCDEGNFJ00865822",1,1,2024,3,2,56,2,2,1,17,"Mujer",1,56,"Baja"
"TQRMNOPWWHLOKNCDEGKDB00805031",1,2,2024,3,1,22,4,2,1,14,"Varón",1,22,"Media"
"TQRMNOPTXHKMLPCDEGKDB00868190",1,2,2024,3,2,48,6,1,1,14,"Mujer",0,48,"Alta"
"TQRMNORVSHKMLLCDEHMHF00868416",1,1,2024,3,1,33,6,1,1,26,"Varón",0,33,"Alta"
"TQRMNOQTSHJKKSCDEHGHJ00864733",1,1,2024,3,2,57,4,1,1,20,"Mujer",0,57,"Media"
"TQRMNOQTPHKMLSCDEFKID00871400",1,2,2024,3,2,36,5,1,1,4,"Mujer",0,36,"Media"
"TQRMNOSSSHJLKTCDEIIAD00865554",1,1,2024,3,1,23,6,0,1,32,"Varón",NA,23,"Alta"
"TQRMNOQTUHKKKOCDEIMBF00869676",1,2,2024,3,2,55,6,1,1,36,"Mujer",0,55,"Alta"
"TQRMNOSQXHKOKRCDEGOIH00869217",1,2,2024,3,2,46,4,2,1,18,"Mujer",1,46,"Media"
"TQSMNOTXYHLNKTCDEFKID00803695",1,2,2024,3,1,28,4,2,1,4,"Varón",1,28,"Media"
"TQRMNOSTUHMNLPCDEFOCD00852384",1,1,2024,3,1,35,4,0,1,8,"Varón",NA,35,"Media"
"TQRMNORTVHLNKPCDEHMHF00806182",1,4,2024,3,1,27,4,0,1,26,"Varón",NA,27,"Media"
"TQRMNORUSHMMLPCDEHJGH00810953",1,1,2024,3,1,29,4,2,1,23,"Varón",1,29,"Media"
"TQRMNOPXYHMMLLCDEFKID00809002",1,1,2024,3,1,61,6,1,1,4,"Varón",0,61,"Alta"
"TQRMNOSRXHJMKSCDEFLID00864283",1,2,2024,3,2,40,6,1,1,5,"Mujer",0,40,"Alta"
"TQRMNOPSXHKMKMCDEHMHF00867300",1,1,2024,3,1,43,4,1,1,26,"Varón",0,43,"Media"
"TQRMNOTVUHJOOPCDEIJAH00861811",1,2,2024,3,1,34,4,2,1,33,"Varón",1,34,"Media"
"TQRMNOQURHJOMNCDEGJBF00862346",1,2,2024,3,1,41,2,1,1,13,"Varón",0,41,"Baja"
"TQRMNOSWWHMOLPCDEHIBB00810831",1,4,2024,3,1,48,6,1,1,22,"Varón",0,48,"Alta"
"TQRMNOQUVHLOLMCDEFMDB00803950",1,5,2024,3,1,24,4,0,1,6,"Varón",NA,24,"Media"
"TQRMNOQRUHKOKTCDEFMDB00868413",1,4,2024,3,1,20,3,1,1,6,"Varón",0,20,"Baja"
"TQRMNOPPSHMMOLCDEIIAD00812099",1,1,2024,3,1,51,5,0,1,32,"Varón",NA,51,"Media"
"TQRMNOSUPHLOLMCDEGIBJ00804746",1,1,2024,3,2,56,6,1,1,12,"Mujer",0,56,"Alta"
"TQRMNORVSHJMSLCDEIJAH00864236",1,2,2024,3,1,46,6,0,1,33,"Varón",NA,46,"Alta"
"TQRMNOPQWHKMLLCDEGKDB00871762",1,2,2024,3,1,34,3,0,1,14,"Varón",NA,34,"Baja"
"TQRMNOQXTHKMLLCDEIGED00871156",1,2,2024,3,1,53,4,1,1,30,"Varón",0,53,"Media"
"TQRMNOSPUHJKKMCDEIJAH00862461",1,1,2024,3,1,44,5,0,1,33,"Varón",NA,44,"Media"
"TQSMNOQRWHKOKOCDEFMDB00871366",1,3,2024,3,1,30,4,0,1,6,"Varón",NA,30,"Media"
"TQRMNOPVRHKKKSCDEFMDB00868393",1,1,2024,3,2,34,6,1,1,6,"Mujer",0,34,"Alta"
"TQRMNOPQQHJMKQCDEGGFB00862630",1,5,2024,3,1,19,4,2,1,10,"Varón",1,19,"Media"
"TQRMNOQYXHJOKRCDEFLID00862230",1,2,2024,3,1,18,2,2,1,5,"Varón",1,18,"Baja"
"TQRMNOQVVHMKPUCDEIJAH00812586",1,2,2024,3,2,26,4,0,1,33,"Mujer",NA,26,"Media"
"TQRMNOQRUHKMKNCDEFIAH00869603",1,1,2024,3,2,37,4,1,1,2,"Mujer",0,37,"Media"
"TQRMNOPWSHLMQOCDEIJAH00807612",1,3,2024,3,1,26,4,0,1,33,"Varón",NA,26,"Media"
"TQRMNOQPWHKOKMCDEGOIH00867040",1,2,2024,3,2,50,6,0,1,18,"Mujer",NA,50,"Alta"
"TQRMNOTTUHMLLQCDEGOIH00810540",1,3,2024,3,1,26,4,2,1,18,"Varón",1,26,"Media"
"TQRMNOPRTHKMLUCDEIKAH00868584",1,1,2024,3,1,35,4,0,1,34,"Varón",NA,35,"Media"
"TQRMNOQUPHLMLPCDEGOIH00805422",1,3,2024,3,2,27,4,2,1,18,"Mujer",1,27,"Media"
"TQRMNOSSSHJMRMCDEIJAH00863222",1,1,2024,3,1,43,3,0,1,33,"Varón",NA,43,"Baja"
"TQRMNOQRQHLNKQCDEHLEH00806043",1,1,2024,3,1,37,4,1,1,25,"Varón",0,37,"Media"
"TQRMNOPXSHMMKPCDEIIAD00854885",1,3,2024,3,2,38,4,2,1,32,"Mujer",1,38,"Media"
"TQRMNOQSVHKMMOCDEFKID00870439",1,1,2024,3,1,24,3,1,1,4,"Varón",0,24,"Baja"
"TQRMNOQQTHKLLMCDEHIBB00869649",1,1,2024,3,1,60,2,1,1,22,"Varón",0,60,"Baja"
"TQRMNOQRUHKMKNCDEFIAH00869603",1,2,2024,3,2,31,4,1,1,2,"Mujer",0,31,"Media"
"TQRMNOSSYHKNQLCDEIJAH00871323",1,1,2024,3,1,34,3,1,1,33,"Varón",0,34,"Baja"
"TQRMNOQVWHKMNLCDEIIAD00868257",1,2,2024,3,2,64,6,2,1,32,"Mujer",1,64,"Alta"
"TQRMNORTVHLLKSCDEGNFJ00805261",1,1,2024,3,2,47,6,1,1,17,"Mujer",0,47,"Alta"
"TQRMNOQVSHKNLMCDEHJGH00870065",1,2,2024,3,1,55,3,0,1,23,"Varón",NA,55,"Baja"
"TQRMNOUTXHKLLPCDEHNHB00871161",1,2,2024,3,2,33,5,1,1,27,"Mujer",0,33,"Media"
"TQRMNOQVXHMOKNCDEGIBJ00809823",1,4,2024,3,2,30,4,1,1,12,"Mujer",0,30,"Media"
"TQRMNOSRUHMMKRCDEHJGH00811039",1,1,2024,3,1,35,5,0,1,23,"Varón",NA,35,"Media"
"TQRMNOPRSHKMOPCDEIJAH00868076",1,1,2024,3,1,42,6,1,1,33,"Varón",0,42,"Alta"
"TQRMNOSSPHMOLSCDEFLID00809137",1,4,2024,3,2,35,3,2,1,5,"Mujer",1,35,"Baja"
"TQRMNOTSXHMMOOCDEIIAD00854855",1,1,2024,3,2,57,6,1,1,32,"Mujer",0,57,"Alta"
"TQRMNOPVXHJMKNCDEHMHF00865507",1,2,2024,3,2,45,6,0,1,26,"Mujer",NA,45,"Alta"
"TQRMNOPQVHLMLOCDEHMHF00806287",1,3,2024,3,1,23,3,2,1,26,"Varón",1,23,"Baja"
"TQRMNOSTVHKMQRCDEIJAH00871924",1,2,2024,3,1,21,3,2,1,33,"Varón",1,21,"Baja"
"TQRMNORQXHKMOTCDEIJAH00868951",1,3,2024,3,2,26,5,2,1,33,"Mujer",1,26,"Media"
"TQRMNOSUTHKNPOCDEIJAH00867675",1,1,2024,3,1,44,5,0,1,33,"Varón",NA,44,"Media"
"TQRMNOQSPHKOKOCDEGPDJ00872342",1,2,2024,3,2,36,6,0,1,19,"Mujer",NA,36,"Alta"
"TQRMNOQPVHKLKNCDEGKDB00869669",1,1,2024,3,1,47,6,0,1,14,"Varón",NA,47,"Alta"
"TQRMNORXYHKOKRCDEGGFB00868972",1,2,2024,3,2,54,6,1,1,10,"Mujer",0,54,"Alta"
"TQRMNORQVHLNRMCDEIJAH00807289",1,3,2024,3,2,24,4,1,1,33,"Mujer",0,24,"Media"
"TQRMNORQXHMLKNCDEFMDB00868757",1,1,2024,3,2,32,5,1,1,6,"Mujer",0,32,"Media"
"TQRMNOPQVHKMKNCDEHNHB00871143",1,1,2024,3,1,45,1,2,1,27,"Varón",1,45,"Baja"
"TQRMNOQQXHKNMOCDEGJBF00871916",1,2,2024,3,2,38,4,0,1,13,"Mujer",NA,38,"Media"
"TQRMNORRSHMOKRCDEFNFF00809408",1,3,2024,3,1,21,2,2,1,7,"Varón",1,21,"Baja"
"TQRMNOSVXHKOKRCDEIHJF00867996",1,2,2024,3,2,39,6,1,1,31,"Mujer",0,39,"Alta"
"TQRMNORQXHKMOTCDEIJAH00868951",1,5,2024,3,1,25,3,1,1,33,"Varón",0,25,"Baja"
"TQRMNOQUUHKMLNCDEIIAD00868256",1,3,2024,3,1,24,6,1,1,32,"Varón",0,24,"Alta"
"TQRMNOPSTHKKKMCDEFOCD00870583",1,2,2024,3,1,28,5,0,1,8,"Varón",NA,28,"Media"
"TQRMNOSYSHLLKRCDEHJGH00806007",1,2,2024,3,1,38,5,1,1,23,"Varón",0,38,"Media"
"TQRMNORYSHKMKTCDEHNHB00872403",1,2,2024,3,1,44,3,1,1,27,"Varón",0,44,"Baja"
"TQRMNORUPHJMLLCDEGKDB00862570",1,1,2024,3,2,48,3,1,1,14,"Mujer",0,48,"Baja"
"TQRMNOPVTHKMKUCDEGIBJ00867357",1,1,2024,3,2,45,6,0,1,12,"Mujer",NA,45,"Alta"
"TQSMNORTPHMMLPCDEGJBF00852928",1,1,2024,3,1,64,4,0,1,13,"Varón",NA,64,"Media"
"TQRMNPQRTHKOKSCDEFNFF00868016",1,1,2024,3,1,36,2,0,1,7,"Varón",NA,36,"Baja"
"TQRMNOPUVHKMKUCDEHNHB00868302",1,1,2024,3,1,37,4,1,1,27,"Varón",0,37,"Media"
"TQRMNOWTPHKOKNCDEGOIH00872439",1,6,2024,3,1,20,4,2,1,18,"Varón",1,20,"Media"
"TQRMNORQWHJMKNCDEIHJF00864022",1,2,2024,3,1,45,4,1,1,31,"Varón",0,45,"Media"
"TQRMNOPPTHJNKPCDEGGFB00866729",1,1,2024,3,1,64,3,1,1,10,"Varón",0,64,"Baja"
"TQSMNOSUYHMNKTCDEHPJB00811519",1,2,2024,3,2,42,5,2,1,29,"Mujer",1,42,"Media"
"TQRMNOSRWHLMMMCDEFKID00808909",1,1,2024,3,1,57,4,0,1,4,"Varón",NA,57,"Media"
"TQRMNOSQVHMMKSCDEGGFB00867030",1,1,2024,3,2,30,4,1,1,10,"Mujer",0,30,"Media"
"TQRMNOTTRHKOKTCDEFJAH00869619",1,2,2024,3,2,44,6,1,1,3,"Mujer",0,44,"Alta"
"TQRMNOSXQHJLMTCDEIJAH00866128",1,1,2024,3,2,61,6,1,1,33,"Mujer",0,61,"Alta"
"TQRMNORPQHMOLQCDEGNFJ00810449",1,1,2024,3,2,57,2,2,1,17,"Mujer",1,57,"Baja"
"TQRMNOSVQHKOLPCDEFOCD00872155",1,3,2024,3,1,21,3,2,1,8,"Varón",1,21,"Baja"
"TQRMNORVSHMNLNCDEGGFB00809738",1,2,2024,3,1,49,1,0,1,10,"Varón",NA,49,"Baja"
"TQRMNOPXRHMMKMCDEIJAH00855447",1,3,2024,3,2,52,4,1,1,33,"Mujer",0,52,"Media"
"TQRMNOPYQHKLKTCDEGOIH00867752",1,5,2024,3,2,59,6,1,1,18,"Mujer",0,59,"Alta"
"TQRMNOQUQHKOKOCDEIKAH00871252",1,1,2024,3,2,47,6,1,1,34,"Mujer",0,47,"Alta"
"TQRMNOTWVHMOKRCDEGKDB00810132",1,1,2024,3,1,36,5,1,1,14,"Varón",0,36,"Media"
"TQRMNOQUWHMNMLCDEIIAD00871394",1,2,2024,3,1,40,6,1,1,32,"Varón",0,40,"Alta"
"TQRMNOSWUHJOLLCDEHGHJ00864065",1,2,2024,3,2,20,5,2,1,20,"Mujer",1,20,"Media"
"TQRMNOPQWHKMLLCDEGKDB00871762",1,1,2024,3,2,30,3,0,1,14,"Mujer",NA,30,"Baja"
"TQRMNORWRHKOLNCDEHMHF00868867",1,2,2024,3,1,59,3,2,1,26,"Varón",1,59,"Baja"
"TQRMNORVXHLNMMCDEGGFB00809659",1,1,2024,3,2,47,5,2,1,10,"Mujer",1,47,"Media"
"TQRMNOQSVHMLKOCDEHGHJ00810741",1,1,2024,3,1,58,6,0,1,20,"Varón",NA,58,"Alta"
"TQRMNORUQHKMLNCDEFKID00868053",1,2,2024,3,1,44,5,1,1,4,"Varón",0,44,"Media"
"TQRMNOTTYHMLLLCDEHLEH00811152",2,1,2024,3,1,31,6,1,1,25,"Varón",0,31,"Alta"
"TQRMNOSUQHJOLQCDEHPJB00866069",1,3,2024,3,1,34,3,2,1,29,"Varón",1,34,"Baja"
"TQRMNORQPHMOLMCDEHLEH00811095",1,6,2024,3,2,19,4,2,1,25,"Mujer",1,19,"Media"
"TQRMNOQSXHMOLPCDEGNFJ00810354",1,4,2024,3,1,29,4,1,1,17,"Varón",0,29,"Media"
"TQRMNOTPWHJOKNCDEFIAH00864023",1,1,2024,3,2,57,4,1,1,2,"Mujer",0,57,"Media"
"TQRMNOYQWHMOLRCDEIJAH00812254",1,3,2024,3,2,20,4,2,1,33,"Mujer",1,20,"Media"
"TQRMNOSSWHKMKNCDEGKDB00867446",1,1,2024,3,1,37,4,1,1,14,"Varón",0,37,"Media"
"TQRMNOQSVHMNKQCDEGJBF00810045",1,3,2024,3,2,35,6,1,1,13,"Mujer",0,35,"Alta"
"TQRMNOPPWHJLPLCDEIJAH00867264",1,1,2024,3,2,42,6,1,1,33,"Mujer",0,42,"Alta"
"TQRMNOQXYHMMLNCDEFNFF00809373",1,1,2024,3,2,50,6,1,1,7,"Mujer",0,50,"Alta"
"TQRMNOPRQHLOLTCDEFJAH00803507",1,2,2024,3,2,49,6,1,1,3,"Mujer",0,49,"Alta"
"TQRMNOPVTHKMKUCDEGIBJ00867357",1,5,2024,3,2,21,5,0,1,12,"Mujer",NA,21,"Media"
"TQRMNOQWTHKKKNCDEGGFB00867052",1,2,2024,3,1,38,6,1,1,10,"Varón",0,38,"Alta"
"TQRMNORQTHKKKOCDEGGFB00869299",1,4,2024,3,1,20,4,1,1,10,"Varón",0,20,"Media"
"TQRMNOQWVHKKMSCDEIIAD00867655",1,1,2024,3,1,37,5,1,1,32,"Varón",0,37,"Media"
"TQRMNOQPSHMMKPCDEIHJF00867739",1,1,2024,3,1,32,4,1,1,31,"Varón",0,32,"Media"
"TQRMNOQXSHJOKQCDEGOIH00865270",1,3,2024,3,1,29,4,2,1,18,"Varón",1,29,"Media"
"TQRMNORXTHJOKMCDEFOCD00865074",1,3,2024,3,1,28,4,2,1,8,"Varón",1,28,"Media"
"TQRMNOSPWHJOKOCDEGKDB00863502",1,4,2024,3,1,27,3,2,1,14,"Varón",1,27,"Baja"
"TQRMNOSQRHJNLOCDEFOCD00866404",1,1,2024,3,1,31,3,1,1,8,"Varón",0,31,"Baja"
"TQRMNOSSRHKMLPCDEGJBF00870737",1,1,2024,3,1,41,6,0,1,13,"Varón",NA,41,"Alta"
"TQRMNOPVTHKOLOCDEFOCD00872474",1,2,2024,3,1,42,3,2,1,8,"Varón",1,42,"Baja"
"TQRMNOQRUHMMOLCDEIIAD00811996",1,1,2024,3,1,58,5,1,1,32,"Varón",0,58,"Media"
"TQRMNOTPRHLMLOCDEFJAH00803488",1,1,2024,3,2,38,6,1,1,3,"Mujer",0,38,"Alta"
"TQRMNOSQUHKOKNCDEHPJB00869447",1,2,2024,3,2,27,5,0,1,29,"Mujer",NA,27,"Media"
"TQRMNOPVYHJMKRCDEIJAH00862945",1,1,2024,3,2,28,5,1,1,33,"Mujer",0,28,"Media"
"TQRMNOUTXHKLLPCDEHNHB00871161",1,4,2024,3,2,58,4,0,1,27,"Mujer",NA,58,"Media"
"TQRMNOPWPHLKPLCDEIJAH00807585",1,1,2024,3,2,46,6,1,1,33,"Mujer",0,46,"Alta"
"TQRMNOSRWHJLONCDEIIAD00861790",1,1,2024,3,1,35,6,0,1,32,"Varón",NA,35,"Alta"
"TQRMNOQVSHMMLLCDEFNFF00809359",1,1,2024,3,1,41,3,0,1,7,"Varón",NA,41,"Baja"
"TQRMNOQQUHMOKUCDEOHCH00813266",1,1,2024,3,1,29,6,1,1,91,"Varón",0,29,"Alta"
"TQRMNOTQYHJMLLCDEHLEH00862586",1,2,2024,3,1,63,4,0,1,25,"Varón",NA,63,"Media"
"TQRMNORTRHLOKMCDEFKID00803714",1,3,2024,3,2,19,4,2,1,4,"Mujer",1,19,"Media"
"TQRMNOTUQHKMLLCDEHIBB00871885",1,2,2024,3,2,41,6,1,1,22,"Mujer",0,41,"Alta"
"TQSMNORVSHMNLNCDEGGFB00809667",1,1,2024,3,1,44,2,1,1,10,"Varón",0,44,"Baja"
"TQRMNORUQHJLMRCDEIIAD00861799",1,1,2024,3,1,37,3,0,1,32,"Varón",NA,37,"Baja"
"TQRMNOSWSHLKMQCDEIIAD00806872",1,2,2024,3,1,40,3,2,1,32,"Varón",1,40,"Baja"
"TQRMNOTTXHMMLLCDEIJAH00812279",1,2,2024,3,2,24,5,2,1,33,"Mujer",1,24,"Media"
"TQRMNOPRUHJMKUCDEGLDF00863455",1,1,2024,3,1,51,6,1,1,15,"Varón",0,51,"Alta"
"TQRMNOPSTHKOLOCDEFIAH00871312",1,1,2024,3,2,25,4,2,1,2,"Mujer",1,25,"Media"
"TQRMNORURHKMLNCDEGIBJ00872076",1,1,2024,3,2,48,4,1,1,12,"Mujer",0,48,"Media"
"TQRMNOSVSHJNKSCDEOJAH00865520",1,2,2024,3,1,34,4,1,1,93,"Varón",0,34,"Media"
"TQRMNOQRQHKNKNCDEIMBF00867641",1,2,2024,3,1,33,1,1,1,36,"Varón",0,33,"Baja"
"TQRMNOPVTHKMKPCDEHGHJ00867282",1,1,2024,3,2,47,6,1,1,20,"Mujer",0,47,"Alta"
"TQRMNORYQHKMLOCDEHPJB00868140",1,1,2024,3,2,27,5,1,1,29,"Mujer",0,27,"Media"
"TQRMNOQTQHJMKSCDEGJBF00862297",1,2,2024,3,1,41,6,1,1,13,"Varón",0,41,"Alta"
"TQRMNORURHMNLLCDEFPCH00809572",1,3,2024,3,2,27,5,2,1,9,"Mujer",1,27,"Media"
"TQRMNORWYHMOKMCDEHGHJ00810762",1,2,2024,3,1,39,4,1,1,20,"Varón",0,39,"Media"
"TQRMNOVPXHJOKRCDEGOIH00862772",1,1,2024,3,1,45,5,1,1,18,"Varón",0,45,"Media"
"TQRMNOPTUHKNKPCDEIHJF00870447",1,1,2024,3,2,24,4,1,1,31,"Mujer",0,24,"Media"
"TQRMNORSPHKNLMCDEOJAH00867133",1,1,2024,3,2,47,3,2,1,93,"Mujer",1,47,"Baja"
"TQRMNOQTUHLMKQCDEFNFF00804137",1,1,2024,3,2,61,6,1,1,7,"Mujer",0,61,"Alta"
"TQSMNORWSHJNLRCDEGGFB00867310",1,1,2024,3,2,23,4,1,1,10,"Mujer",0,23,"Media"
"TQRMNORTQHJNLOCDEGLDF00862516",1,1,2024,3,1,29,3,2,1,15,"Varón",1,29,"Baja"
"TQRMNOSUXHMMLOCDEFNFF00852241",1,1,2024,3,1,21,3,1,1,7,"Varón",0,21,"Baja"
